Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 loss                       PushPop  383,872  383,872          1          1            1,792    1,792.0    1,792.0     1,792     1,792          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIterat…
 profile_region             PushPop  383,872  383,872          1         72       25,195,281  349,934.5  349,837.0   348,605   354,140        718.3  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 profile_region             PushPop  383,872  383,872          1        180       21,230,517  117,947.3   77,087.0    76,607   282,366     82,035.7  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
 profile_region             PushPop  383,872  383,872          1      1,963       16,980,407    8,650.2    5,536.0     1,344    37,055      7,050.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
 profile_region             PushPop  383,872  383,872          1      1,851       15,591,852    8,423.5    4,032.0     1,312    53,951      9,865.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
 profile_region             PushPop  383,872  383,872          1        761        6,079,584    7,988.9    5,568.0     2,272    43,167      6,779.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 profile_region             PushPop  383,872  383,872          1        727        5,680,900    7,814.2    4,864.0     1,504    37,311      6,908.7  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 profile_region             PushPop  383,872  383,872          1        327        3,603,204   11,019.0    4,128.0     1,568    54,176     11,171.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 profile_region             PushPop  383,872  383,872          1        691        2,966,106    4,292.5    2,880.0     1,183    18,080      3,040.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 profile_region             PushPop  383,872  383,872          1        328        2,820,077    8,597.8    3,424.0     1,791    36,863      8,216.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
 profile_region             PushPop  383,872  383,872          1        364        2,782,782    7,645.0    6,463.0     2,688    26,144      3,463.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 profile_region             PushPop  383,872  383,872          1        401        2,399,737    5,984.4    3,328.0     1,375    36,959      6,028.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
 profile_region             PushPop  383,872  383,872          1        180        1,355,156    7,528.6    7,488.0     7,168     8,032        197.6  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
 profile_region             PushPop  383,872  383,872          1         72        1,348,141   18,724.2   18,656.0    18,112    19,775        400.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 profile_region             PushPop  383,872  383,872          1         36        1,180,024   32,778.4   32,784.0    32,096    33,440        341.4  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
